"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"294","antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)","3/104",0.011571013146536,0.0611217123012599,0,0,6.76305906452714,30.1581858426464,"ITGB5;SEC61G;SEC61B"
"295","response to ketone (GO:1901654)","3/105",0.0118732110222151,0.062505412601695,0,0,6.69641649763354,29.6883656084921,"TGFB3;GAS6;THBS1"
"296","regulation of adherens junction organization (GO:1903391)","2/37",0.0120409245904785,0.0631741753007199,0,0,12.9058441558442,57.0366561495542,"MMP14;THBS1"
"297","regulation of cysteine-type endopeptidase activity (GO:2000116)","4/197",0.0120831115596774,0.0631820614551482,0,0,4.75165682612363,20.9830625215377,"MTCH1;F2R;GAS6;THBS1"
"298","regulation of cytokine secretion (GO:0050707)","3/106",0.0121799296843333,0.0632623103671225,0,0,6.63106796116505,29.2295207223911,"F2R;GAS6;CD34"
"299","positive regulation of protein secretion (GO:0050714)","3/106",0.0121799296843333,0.0632623103671225,0,0,6.63106796116505,29.2295207223911,"TGFB3;F2R;CD34"
"300","regulation of pathway-restricted SMAD protein phosphorylation (GO:0060393)","2/38",0.0126730186331081,0.0651695295934331,0,0,12.5467171717172,54.8075744720873,"TGFB3;PMEPA1"
"301","cellular response to glucose stimulus (GO:0071333)","2/38",0.0126730186331081,0.0651695295934331,0,0,12.5467171717172,54.8075744720873,"LGALS1;GAS6"
"302","positive regulation of reactive oxygen species metabolic process (GO:2000379)","2/38",0.0126730186331081,0.0651695295934331,0,0,12.5467171717172,54.8075744720873,"THBS1;TGFBR2"
"303","protein processing (GO:0016485)","4/201",0.0129274289218885,0.0662584063224185,0,0,4.65423208594027,20.2384811956516,"MTCH1;MMP14;F2R;PLAT"
"304","regulation of Ras protein signal transduction (GO:0046578)","3/109",0.0131273136979685,0.0668416989276886,0,0,6.44242029928432,27.9153950181407,"COL3A1;F2R;IGF1"
"305","response to ethanol (GO:0045471)","3/109",0.0131273136979685,0.0668416989276886,0,0,6.44242029928432,27.9153950181407,"GSN;TNC;ADCY7"
"306","nucleoside diphosphate metabolic process (GO:0009132)","2/39",0.0133193345763697,0.0671588525879938,0,0,12.2070024570025,52.7164109571935,"AK1;NME2"
"307","bone mineralization (GO:0030282)","2/39",0.0133193345763697,0.0671588525879938,0,0,12.2070024570025,52.7164109571935,"PTN;IGF1"
"308","positive regulation of stem cell differentiation (GO:2000738)","2/39",0.0133193345763697,0.0671588525879938,0,0,12.2070024570025,52.7164109571935,"COL1A1;TGFB3"
"309","negative regulation of locomotion (GO:0040013)","4/204",0.0135848323911401,0.0682758728266685,0,0,4.58372093023256,19.7045058327727,"COL3A1;DPYSL3;TIMP1;THBS1"
"310","synapse organization (GO:0050808)","3/111",0.013781688990364,0.0688198167268017,0,0,6.32247765006386,27.0881146205931,"F2R;TNC;COL4A5"
"311","response to retinoic acid (GO:0032526)","3/111",0.013781688990364,0.0688198167268017,0,0,6.32247765006386,27.0881146205931,"COL1A1;ALDH1A2;TNC"
"312","negative regulation of BMP signaling pathway (GO:0030514)","2/40",0.0139797345998309,0.0689223105826585,0,0,11.8851674641148,50.7514065653297,"FZD1;HTRA1"
"313","cellular response to hexose stimulus (GO:0071331)","2/40",0.0139797345998309,0.0689223105826585,0,0,11.8851674641148,50.7514065653297,"LGALS1;GAS6"
"314","glial cell development (GO:0021782)","2/40",0.0139797345998309,0.0689223105826585,0,0,11.8851674641148,50.7514065653297,"GSN;VIM"
"315","outflow tract morphogenesis (GO:0003151)","2/40",0.0139797345998309,0.0689223105826585,0,0,11.8851674641148,50.7514065653297,"FZD1;THBS1"
"316","anatomical structure homeostasis (GO:0060249)","4/208",0.0144940104268289,0.071118090783409,0,0,4.49293205654355,19.0231632376154,"CTSK;F2R;ILDR2;CD34"
"317","protein peptidyl-prolyl isomerization (GO:0000413)","2/41",0.014654081809846,0.071118090783409,0,0,11.5798368298368,48.9020719809934,"FKBP11;PPIC"
"318","regulation of release of cytochrome c from mitochondria (GO:0090199)","2/41",0.014654081809846,0.071118090783409,0,0,11.5798368298368,48.9020719809934,"LMNA;IGF1"
"319","cellular response to monosaccharide stimulus (GO:0071326)","2/41",0.014654081809846,0.071118090783409,0,0,11.5798368298368,48.9020719809934,"LGALS1;GAS6"
"320","primary alcohol metabolic process (GO:0034308)","2/41",0.014654081809846,0.071118090783409,0,0,11.5798368298368,48.9020719809934,"ALDH1A2;IGF1"
"321","regulation of establishment of protein localization (GO:0070201)","6/442",0.0147640513638811,0.0713685688526127,0,0,3.19036697247706,13.4491834417942,"FZD1;TGFB3;F2R;IGF1;GAS6;CD34"
"322","regulation of protein kinase B signaling (GO:0051896)","3/114",0.0147976041020871,0.0713685688526127,0,0,6.1506679092886,25.9145475728366,"IGF1;GAS6;THBS1"
"323","regulation of cell growth (GO:0001558)","5/322",0.0151530886088679,0.0728568006488292,0,0,3.63573946928929,15.2321155629378,"MMP14;SERPINE2;IGFBP4;HTRA1;SPP1"
"324","regulation of interleukin-1 production (GO:0032652)","2/42",0.0153422402390867,0.0733123048963128,0,0,11.2897727272727,47.1590228317791,"F2R;GAS6"
"325","androgen receptor signaling pathway (GO:0030521)","2/42",0.0153422402390867,0.0733123048963128,0,0,11.2897727272727,47.1590228317791,"FHL2;PMEPA1"
"326","regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)","4/213",0.0156836407505273,0.0747137855385548,0,0,4.3843329253366,18.2175043980872,"LGALS1;F2R;S100A13;S100A4"
"327","cerebral cortex development (GO:0021987)","2/43",0.0160440748316395,0.0761970893380308,0,0,11.0138580931264,45.513839737425,"COL3A1;MDK"
"328","positive regulation of leukocyte differentiation (GO:1902107)","3/118",0.0162165948254622,0.076781621231533,0,0,5.93553223388306,24.4646030415244,"GAS6;RUNX1;TGFBR2"
"329","embryonic organ development (GO:0048568)","3/119",0.0165828923619011,0.0781604447517747,0,0,5.88406658739596,24.121046632439,"ALDH1A2;RUNX1;TGFBR2"
"330","positive regulation of intracellular transport (GO:0032388)","4/217",0.0166784479716854,0.0781604447517747,0,0,4.30112457691888,17.607246725394,"TGFB3;F2R;IGF1;GAS6"
"331","vasculature development (GO:0001944)","2/44",0.0167594514503161,0.0781604447517747,0,0,10.7510822510823,43.9589489277611,"FZD1;IGF1"
"332","regulation of nitric oxide biosynthetic process (GO:0045428)","2/44",0.0167594514503161,0.0781604447517747,0,0,10.7510822510823,43.9589489277611,"PTGIS;CD34"
"333","neutrophil chemotaxis (GO:0030593)","2/44",0.0167594514503161,0.0781604447517747,0,0,10.7510822510823,43.9589489277611,"DPYSL3;SPP1"
"334","regulation of intracellular protein transport (GO:0033157)","4/219",0.017190373853606,0.0799300916007489,0,0,4.26068144943213,17.3128773365247,"FZD1;TGFB3;IGF1;GAS6"
"335","eye morphogenesis (GO:0048592)","2/45",0.0174882368584573,0.0808310471463815,0,0,10.5005285412262,42.4875200353013,"COL5A2;COL8A1"
"336","neutrophil migration (GO:1990266)","2/45",0.0174882368584573,0.0808310471463815,0,0,10.5005285412262,42.4875200353013,"DPYSL3;SPP1"
"337","positive regulation of smooth muscle cell proliferation (GO:0048661)","2/46",0.0182302987272146,0.0837622897140956,0,0,10.2613636363636,41.093378231587,"IGF1;TGFBR2"
"338","negative regulation of developmental growth (GO:0048640)","2/46",0.0182302987272146,0.0837622897140956,0,0,10.2613636363636,41.093378231587,"SPP1;TGFBR2"
"339","regulation of neuron death (GO:1901214)","4/225",0.0187848754083023,0.0860557861625177,0,0,4.14374408081658,16.4701529926249,"MDK;TGFB3;F2R;CD34"
"340","smooth muscle contraction (GO:0006939)","2/47",0.0189855056149221,0.0864647807037361,0,0,10.0328282828283,39.7709284546051,"ACTA2;DPYSL3"
"341","cellular response to UV (GO:0034644)","2/47",0.0189855056149221,0.0864647807037361,0,0,10.0328282828283,39.7709284546051,"MFAP4;CRIP1"
"342","purine ribonucleotide biosynthetic process (GO:0009152)","3/126",0.0192769013106101,0.0875351688168934,0,0,5.54723857583403,21.9052004197895,"AK1;NME2;ADCY7"
"343","stem cell proliferation (GO:0072089)","2/48",0.0197537269799429,0.0894388862969426,0,0,9.81422924901186,38.5150898076013,"CD34;RUNX1"
"344","establishment of protein localization to membrane (GO:0090150)","4/229",0.0198973108082931,0.0898271037362765,0,0,4.06925064599483,15.9399493674482,"SEC61G;SEC61B;GAS6;VAMP5"
"345","cellular glucose homeostasis (GO:0001678)","2/49",0.0205348331635039,0.0924365098635409,0,0,9.60493230174081,37.3212386112853,"LGALS1;GAS6"
"346","positive regulation of response to wounding (GO:1903036)","3/130",0.0209187390984435,0.0938924908089098,0,0,5.37143632907955,20.7719346813704,"F2R;THBS1;TGFBR2"
"347","regulation of cell junction assembly (GO:1901888)","2/50",0.0213286953840062,0.0949782854313222,0,0,9.40435606060606,36.1851587936506,"MMP14;THBS1"
"348","positive regulation of intracellular protein transport (GO:0090316)","3/131",0.0213408603747906,0.0949782854313222,0,0,5.3292025862069,20.5021442927954,"TGFB3;IGF1;GAS6"
"349","regulation of cell division (GO:0051302)","4/234",0.0213441220962855,0.0949782854313222,0,0,3.97977755308392,15.3101202290811,"MDK;TGFB3;PTN;IGF1"
"350","purine nucleotide biosynthetic process (GO:0006164)","3/132",0.0217676491979773,0.0965861691555965,0,0,5.28762363004544,20.2374826266668,"AK1;NME2;ADCY7"
"351","organ regeneration (GO:0031100)","2/51",0.0221351857372418,0.0973029994235617,0,0,9.21196660482375,35.1029985464868,"GAS6;TGFBR2"
"352","positive regulation of phosphatidylinositol 3-kinase signaling (GO:0014068)","2/51",0.0221351857372418,0.0973029994235617,0,0,9.21196660482375,35.1029985464868,"F2R;IGF1"
"353","regulation of blood pressure (GO:0008217)","3/133",0.0221991064099522,0.0973029994235617,0,0,5.24668435013263,19.9778170135177,"ACTA2;COL1A2;CD34"
"354","negative regulation of neuron apoptotic process (GO:0043524)","3/133",0.0221991064099522,0.0973029994235617,0,0,5.24668435013263,19.9778170135177,"MDK;TGFB3;F2R"
"355","muscle system process (GO:0003012)","4/237",0.0222424757214194,0.0973029994235617,0,0,3.92793691985228,14.9487518143657,"ACTA2;ITGB5;DPYSL3;IGF1"
"356","tissue morphogenesis (GO:0048729)","5/358",0.0227993859682209,0.099459119125413,0,0,3.25895684052658,12.322186450626,"MMP14;ALDH1A2;TNC;IGF1;TGFBR2"
"357","regulation of epithelial to mesenchymal transition (GO:0010717)","2/52",0.0229541771879189,0.099853885638202,0,0,9.02727272727273,34.0712323551538,"COL1A1;TGFB3"
"358","negative regulation of secretion by cell (GO:1903531)","3/135",0.0230760277517281,0.100103550554284,0,0,5.16666666666667,19.4729649598203,"F2R;GAS6;CD34"
"359","single-organism behavior (GO:0044708)","5/362",0.0237787245779541,0.10232395890571,0,0,3.22178283077937,12.0461300954604,"SERPINE2;MDK;PTN;THBS1;RUNX1"
"360","granulocyte chemotaxis (GO:0071621)","2/53",0.0237855435704838,0.10232395890571,0,0,8.84982174688057,33.086627637467,"DPYSL3;SPP1"
"361","negative regulation of protein import into nucleus (GO:0042308)","2/53",0.0237855435704838,0.10232395890571,0,0,8.84982174688057,33.086627637467,"FZD1;GAS6"
"362","positive regulation of lymphocyte activation (GO:0051251)","4/243",0.0241079051898892,0.103424245193088,0,0,3.82815996886251,14.2607207609667,"LGALS1;IGF1;GAS6;TGFBR2"
"363","positive regulation of peptidase activity (GO:0010952)","3/139",0.0248858929938555,0.106467746059112,0,0,5.01369168356998,18.5178405184021,"MTCH1;MMP14;F2R"
"364","ribonucleotide biosynthetic process (GO:0009260)","3/140",0.025350026036978,0.107257590398752,0,0,4.97684369494085,18.28977875496,"AK1;NME2;ADCY7"
"365","response to corticosteroid (GO:0031960)","3/140",0.025350026036978,0.107257590398752,0,0,4.97684369494085,18.28977875496,"COL1A1;MDK;PLAT"
"366","cell cycle arrest (GO:0007050)","3/140",0.025350026036978,0.107257590398752,0,0,4.97684369494085,18.28977875496,"AK1;GAS6;THBS1"
"367","positive regulation of secretion by cell (GO:1903532)","4/247",0.025402820347476,0.107257590398752,0,0,3.76437936644655,13.8261704310098,"TGFB3;F2R;CD34;RUNX1"
"368","peptidyl-proline modification (GO:0018208)","2/55",0.0254849007450994,0.107257590398752,0,0,8.51500857632933,31.2472641128592,"FKBP11;PPIC"
"369","granulocyte migration (GO:0097530)","2/55",0.0254849007450994,0.107257590398752,0,0,8.51500857632933,31.2472641128592,"DPYSL3;SPP1"
"370","branching morphogenesis of an epithelial tube (GO:0048754)","3/141",0.0258188229894464,0.108369275953001,0,0,4.94052973513243,18.0657953671131,"MMP14;IGF1;TGFBR2"
"371","positive regulation of JAK-STAT cascade (GO:0046427)","2/56",0.0263526434803486,0.109720255562953,0,0,8.35690235690236,30.3872570963301,"F2R;IGF1"
"372","skeletal muscle tissue development (GO:0007519)","2/56",0.0263526434803486,0.109720255562953,0,0,8.35690235690236,30.3872570963301,"ELN;VAMP5"
"373","positive regulation of leukocyte chemotaxis (GO:0002690)","2/56",0.0263526434803486,0.109720255562953,0,0,8.35690235690236,30.3872570963301,"GAS6;THBS1"
"374","ribose phosphate biosynthetic process (GO:0046390)","3/144",0.0272531768304724,0.11316626635755,0,0,4.83467840547811,17.41734079169,"AK1;NME2;ADCY7"
"375","response to endoplasmic reticulum stress (GO:0034976)","3/145",0.02774060752981,0.11488310265012,0,0,4.8003885381253,17.2087110786819,"LMNA;KDELR3;THBS1"
"376","cyclic nucleotide metabolic process (GO:0009187)","2/58",0.0281236434462706,0.116159623063985,0,0,8.05762987012987,28.7749618236851,"DPYSL3;ADCY7"
"377","purine-containing compound biosynthetic process (GO:0072522)","3/146",0.0282326897818998,0.116300708836314,0,0,4.76657824933687,17.0036942817664,"AK1;NME2;ADCY7"
"378","epithelium development (GO:0060429)","4/256",0.0284678925281242,0.116959357397293,0,0,3.62827611664821,12.9129563455633,"SERPINE2;ALDH1A2;EMP1;CD34"
"379","positive regulation of osteoblast differentiation (GO:0045669)","2/59",0.029026657678618,0.118627366776036,0,0,7.9158692185008,28.0185408071856,"FBN2;IGF1"
"380","negative regulation of protein localization to nucleus (GO:1900181)","2/59",0.029026657678618,0.118627366776036,0,0,7.9158692185008,28.0185408071856,"FZD1;GAS6"
"381","regulation of epithelial cell proliferation (GO:0050678)","4/258",0.0291777008128972,0.118931678116613,0,0,3.59934078007691,12.721332001793,"ALDH1A2;NME2;IGF1;THBS1"
"382","establishment of protein localization to plasma membrane (GO:0090002)","2/60",0.0299411874561115,0.121406433731961,0,0,7.77899686520376,27.2927679452308,"GAS6;VAMP5"
"383","positive regulation of DNA replication (GO:0045740)","2/60",0.0299411874561115,0.121406433731961,0,0,7.77899686520376,27.2927679452308,"TGFB3;IGF1"
"384","glial cell differentiation (GO:0010001)","2/61",0.0308671133563004,0.12471528227908,0,0,7.64676425269646,26.5959351159882,"IGF1;VIM"
"385","taxis (GO:0042330)","4/263",0.0309981319766419,0.12471528227908,0,0,3.52895752895753,12.2589926575652,"DPYSL3;SPP1;GAS6;CXCL14"
"386","chemotaxis (GO:0006935)","4/263",0.0309981319766419,0.12471528227908,0,0,3.52895752895753,12.2589926575652,"DPYSL3;SPP1;GAS6;CXCL14"
"387","negative regulation of secretion (GO:0051048)","3/152",0.0312826621446892,0.125534817340316,0,0,4.57324693358019,15.8448886805926,"F2R;GAS6;CD34"
"388","regulation of cell projection organization (GO:0031344)","5/391",0.0316968675119875,0.126869163005455,0,0,2.97531240475465,10.2694021001242,"LGALS1;TGFB3;DPYSL3;SPP1;VIM"
"389","negative regulation of nucleocytoplasmic transport (GO:0046823)","2/62",0.031804316766909,0.126971989560436,0,0,7.51893939393939,25.9264553154478,"FZD1;GAS6"
"390","myeloid cell differentiation (GO:0030099)","3/154",0.0323363512917987,0.128765009118368,0,0,4.51221740123316,15.483959430753,"MFAP2;RUNX1;TGFBR2"
"391","regulation of intracellular transport (GO:0032386)","5/394",0.0325998411923884,0.129482233687415,0,0,2.95191289883563,10.1057199023895,"FZD1;TGFB3;F2R;IGF1;GAS6"
"392","protein targeting to membrane (GO:0006612)","3/156",0.033408489653588,0.130128835527417,0,0,4.45278341221546,15.1347669394085,"SEC61G;SEC61B;GAS6"
"393","protein polymerization (GO:0051258)","2/64",0.033712085772727,0.130128835527417,0,0,7.27565982404692,24.6637510716616,"TUBB2A;GSN"
"394","activation of signaling protein activity involved in unfolded protein response (GO:0006987)","2/64",0.033712085772727,0.130128835527417,0,0,7.27565982404692,24.6637510716616,"LMNA;KDELR3"
"395","positive regulation of secretion (GO:0051047)","4/273",0.0348367806865401,0.130128835527417,0,0,3.39604045992911,11.4007847169642,"TGFB3;F2R;CD34;RUNX1"
"396","protein targeting (GO:0006605)","4/273",0.0348367806865401,0.130128835527417,0,0,3.39604045992911,11.4007847169642,"SEC61G;LTBP2;SEC61B;GAS6"
"397","embryonic morphogenesis (GO:0048598)","5/403",0.0354050947405109,0.130128835527417,0,0,2.88383091930239,9.63458942049938,"FBN2;MMP14;TGFB3;ALDH1A2;TGFBR2"
"398","type B pancreatic cell proliferation (GO:0044342)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"IGFBP4"
"399","negative regulation of granulocyte differentiation (GO:0030853)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"RUNX1"
"400","short-term memory (GO:0007614)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"MDK"
"401","positive regulation of fibroblast migration (GO:0010763)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"THBS1"
"402","regulation of dendritic cell antigen processing and presentation (GO:0002604)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"THBS1"
"403","vitamin A metabolic process (GO:0006776)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"ALDH1A2"
"404","regulation of metalloenzyme activity (GO:0048552)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"TIMP1"
"405","G-protein coupled receptor signaling pathway coupled to cGMP nucleotide second messenger (GO:0007199)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"FZD1"
"406","sequestering of extracellular ligand from receptor (GO:0035581)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"FBN2"
"407","prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis (GO:0060527)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"IGF1"
"408","regulation of transforming growth factor beta1 production (GO:0032908)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"THBS1"
"409","cellular response to interferon-alpha (GO:0035457)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"GAS6"
"410","production of molecular mediator involved in inflammatory response (GO:0002532)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"SLC7A2"
"411","cell differentiation involved in metanephros development (GO:0072202)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"CD34"
"412","chondrocyte proliferation (GO:0035988)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"MMP14"
"413","virion attachment to host cell (GO:0019062)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"GAS6"
"414","blood vessel maturation (GO:0001955)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"MMP2"
"415","negative regulation of fibroblast apoptotic process (GO:2000270)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"GAS6"
"416","L-alpha-amino acid transmembrane transport (GO:1902475)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"SLC7A2"
"417","negative regulation of fatty acid transport (GO:2000192)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"THBS1"
"418","endothelium development (GO:0003158)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"CD34"
"419","diterpenoid biosynthetic process (GO:0016102)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"ALDH1A2"
"420","adhesion of symbiont to host cell (GO:0044650)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"GAS6"
"421","pyrimidine nucleobase catabolic process (GO:0006208)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"DPYSL3"
"422","cellular response to ethanol (GO:0071361)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"ADCY7"
"423","cellular response to vitamin D (GO:0071305)","1/8",0.0354439777386331,0.130128835527417,0,0,31.9470304975923,106.696753821913,"TNC"
"424","regulation of neuron projection development (GO:0010975)","4/275",0.0356362913838341,0.130318850655322,0,0,3.37063417145799,11.2390113675065,"LGALS1;DPYSL3;SPP1;VIM"
"425","positive regulation of nuclease activity (GO:0032075)","2/66",0.0356635618341996,0.130318850655322,0,0,7.04758522727273,23.4940118592669,"LMNA;KDELR3"
"426","protein localization to membrane (GO:0072657)","4/276",0.0360400296546006,0.130934335937204,0,0,3.35807113543092,11.1592902205671,"SEC61G;SEC61B;GAS6;VAMP5"
"427","regulation of neuron differentiation (GO:0045664)","5/405",0.0360482251708962,0.130934335937204,0,0,2.86911764705882,9.53378428380975,"LGALS1;DPYSL3;SPP1;NREP;VIM"
"428","regulation of ERK1 and ERK2 cascade (GO:0070372)","3/161",0.0361692402556732,0.130934335937204,0,0,4.31078131820166,14.3098379079287,"F2R;IGF1;GAS6"
"429","regulation of extrinsic apoptotic signaling pathway (GO:2001236)","3/161",0.0361692402556732,0.130934335937204,0,0,4.31078131820166,14.3098379079287,"LMNA;IGF1;THBS1"
"430","protein secretion (GO:0009306)","2/67",0.0366554020700173,0.132365764432684,0,0,6.93881118881119,22.9410591484221,"S100A13;LTBP2"
"431","morphogenesis of a branching epithelium (GO:0061138)","3/162",0.036735122002889,0.132365764432684,0,0,4.28345261331598,14.1526215793444,"MMP14;IGF1;TGFBR2"
"432","developmental growth (GO:0048589)","3/163",0.0373055645793104,0.133451350304547,0,0,4.25646551724138,13.9978668934892,"GSN;TNC;IGF1"
"433","regulation of leukocyte chemotaxis (GO:0002688)","2/68",0.0376578251363587,0.133451350304547,0,0,6.83333333333333,22.4079658004617,"GAS6;THBS1"
"434","negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)","2/69",0.0386707180283223,0.133451350304547,0,0,6.73100407055631,21.8937525473903,"GAS6;THBS1"
"435","nucleoside triphosphate biosynthetic process (GO:0009142)","2/69",0.0386707180283223,0.133451350304547,0,0,6.73100407055631,21.8937525473903,"AK1;NME2"
"436","positive regulation of cytokine secretion (GO:0050715)","2/69",0.0386707180283223,0.133451350304547,0,0,6.73100407055631,21.8937525473903,"F2R;CD34"
"437","regulation of behavior (GO:0050795)","3/166",0.039044181599956,0.133451350304547,0,0,4.17749100909668,13.5478598927447,"MDK;GAS6;THBS1"
"438","monocarboxylic acid biosynthetic process (GO:0072330)","3/167",0.039632790712625,0.133451350304547,0,0,4.15180824222035,13.4024457724416,"PTGIS;ALDH1A2;LPL"
"439","heart development (GO:0007507)","3/167",0.039632790712625,0.133451350304547,0,0,4.15180824222035,13.4024457724416,"COL3A1;CRIP1;TGFBR2"
"440","cellular response to alcohol (GO:0097306)","2/70",0.0396939685345125,0.133451350304547,0,0,6.63168449197861,21.3975015794473,"TNC;ADCY7"
"441","positive regulation of tolerance induction (GO:0002645)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"TGFBR2"
"442","protein retention in ER lumen (GO:0006621)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"KDELR3"
"443","barbed-end actin filament capping (GO:0051016)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"GSN"
"444","negative regulation of sodium ion transport (GO:0010766)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"SERPINE2"
"445","phagocytosis, recognition (GO:0006910)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"COLEC12"
"446","platelet dense granule organization (GO:0060155)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"F2R"
"447","exocrine pancreas development (GO:0031017)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"IGF1"
"448","tooth mineralization (GO:0034505)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"COL1A1"
"449","positive regulation of astrocyte differentiation (GO:0048711)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"SERPINE2"
"450","peptidyl-histidine modification (GO:0018202)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"NME2"
"451","triglyceride-rich lipoprotein particle remodeling (GO:0034370)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"LPL"
"452","endocardial cushion development (GO:0003197)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"THBS1"
"453","mesenchymal-epithelial cell signaling (GO:0060638)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"TNC"
"454","adhesion of symbiont to host (GO:0044406)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"GAS6"
"455","mature B cell differentiation involved in immune response (GO:0002313)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"LGALS1"
"456","negative regulation of catenin import into nucleus (GO:0035414)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"FZD1"
"457","thrombin receptor signaling pathway (GO:0070493)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"F2R"
"458","negative regulation of homotypic cell-cell adhesion (GO:0034111)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"SERPINE2"
"459","ADP metabolic process (GO:0046031)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"AK1"
"460","negative regulation of tumor necrosis factor-mediated signaling pathway (GO:0010804)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"GAS6"
"461","tyrosine phosphorylation of STAT protein (GO:0007260)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"F2R"
"462","lung vasculature development (GO:0060426)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"IGF1"
"463","positive regulation of natural killer cell differentiation (GO:0032825)","1/9",0.0397862042440473,0.133451350304547,0,0,27.9522471910112,90.1246152261538,"GAS6"
"464","negative regulation of cysteine-type endopeptidase activity (GO:2000117)","2/71",0.0407274652143992,0.136314123874918,0,0,6.53524374176548,20.9183518775685,"GAS6;THBS1"
"465","morphogenesis of a branching structure (GO:0001763)","3/170",0.0414257119669442,0.136729405717137,0,0,4.07660540986992,12.9793145202555,"MMP14;IGF1;TGFBR2"
"466","regulation of nuclease activity (GO:0032069)","2/72",0.0417710974047372,0.136729405717137,0,0,6.44155844155844,20.4554949560671,"LMNA;KDELR3"
"467","antigen processing and presentation of exogenous peptide antigen (GO:0002478)","3/171",0.0420323546124626,0.136729405717137,0,0,4.05213464696223,12.8424935877999,"ITGB5;SEC61G;SEC61B"
"468","negative regulation of intracellular protein transport (GO:0090317)","2/73",0.0428247552064651,0.136729405717137,0,0,6.35051216389245,20.0081709818796,"FZD1;GAS6"
